City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
539,kombissiri,12.0656,-1.3375,80.58,19,31,6.58,BF,1701299660
540,mozhaysk,55.5019,36.0272,30.67,95,100,18.45,RU,1701299660
541,tisul',55.7611,88.3122,12.25,88,86,3.13,RU,1701299661
542,anna regina,7.2644,-58.5077,78.78,80,44,8.28,GY,1701299661
543,newcastle,-32.9272,151.7765,79.79,60,40,21.85,AU,1701299426
544,ijebu-jesa,7.6833,4.8167,73.47,90,100,2.84,NG,1701299662
545,sultanah,24.4926,39.5857,72.05,30,0,8.05,SA,1701299662
546,harper,4.375,-7.7169,78.96,84,100,6.17,LR,1701299662
547,umm kaddadah,13.6017,26.6876,71.67,24,50,15.08,SD,1701299663
548,tobelo,1.7284,128.0095,81.91,78,100,4.52,ID,1701299663
549,ziro,27.6333,93.8333,38.98,72,7,2.51,IN,1701299663
550,prince rupert,54.3161,-130.3201,47.89,78,0,23.02,CA,1701299664
551,manggar,-2.8833,108.2667,82.78,79,95,7.2,ID,1701299664
552,haimen,23.1935,116.6142,67.89,79,92,10.04,CN,1701299664
553,st. john's,47.5649,-52.7093,31.15,95,98,18.99,CA,1701299567
554,colares,38.7992,-9.4469,64.33,97,84,20.0,PT,1701299376
555,sandnessjoen,66.0217,12.6316,23.52,67,100,11.52,NO,1701299665
556,estevan,49.1334,-102.9842,35.8,69,0,13.8,CA,1701299665
557,batouri,4.4333,14.3667,70.2,92,91,1.45,CM,1701299666
558,kapsan-up,41.0903,128.2933,0.46,86,51,3.74,KP,1701299666
559,selty,57.3132,52.1345,-2.47,100,95,2.95,RU,1701299666
560,tingo maria,-9.2895,-76.0088,73.51,95,73,0.96,PE,1701299666
561,saint-francois,46.4154,3.9054,35.04,87,0,2.3,FR,1701299667
562,parun,35.4207,70.9221,32.02,89,100,4.21,AF,1701299667
563,nicoya,10.1483,-85.452,76.62,88,100,3.71,CR,1701299667
564,djibo,14.1022,-1.6306,82.85,17,100,7.43,BF,1701299667
565,kambove,-10.8764,26.5969,62.8,96,100,2.21,CD,1701299668
566,las vegas,36.175,-115.1372,62.82,23,0,5.01,US,1701299503
567,heilbron,-27.2812,27.9709,54.09,68,65,20.76,ZA,1701299669
568,prudnik,50.3212,17.5746,28.78,86,98,9.95,PL,1701299669
569,callao,-12.0667,-77.15,76.71,77,100,9.22,PE,1701299498
570,chimoio,-19.1164,33.4833,69.03,97,93,11.07,MZ,1701299670
571,beyneu,45.3167,55.2,36.21,63,16,11.5,KZ,1701299670
572,iskushuban,10.2837,50.23,73.08,71,62,8.9,SO,1701299670
573,arroio dos ratos,-30.0772,-51.7292,70.65,96,55,4.56,BR,1701299670
574,oriximina,-1.7656,-55.8661,82.89,62,86,4.23,BR,1701299417
575,zakamensk,50.3741,103.2863,-4.88,96,15,3.8,RU,1701299671
576,spokoynaya,44.2468,41.4015,42.96,66,100,4.18,RU,1701299671
577,akureyri,65.6835,-18.0878,31.93,93,75,2.3,IS,1701299671
578,puerto wilches,7.3483,-73.896,79.34,91,45,1.34,CO,1701299672
579,ajra,16.1167,74.2,68.79,85,71,2.64,IN,1701299672
